,employer,chill_app,time_chill,work_app,time_work,timestamp,coef
1499,Natasha Andrews,Яндекс.Музыка,3.7,Git,6.3,01-05-2022,0.0
533,Kenneth Harvey,YouTube,3.7,Teams,6.3,01-05-2022,1.5
689,Albert Ortiz,Яндекс.Музыка,2.2,Git,7.8,01-05-2022,0.0
2878,Gloria Schmitz,Яндекс.Музыка,2.4,PgAdmin4,7.6,01-05-2022,0.5
2900,Amanda Leatham,Twitch,3.6,PgAdmin4,6.4,01-05-2022,0.5
2208,Barry Powell,Яндекс.Музыка,3.7,PyCharm,6.3,01-05-2022,0.5
896,Michael Cuneo,Twitch,3.7,Git,6.3,01-05-2022,0.5
79,Jerome Lawrence,Twitch,2.4,PgAdmin4,7.6,01-05-2022,0.5
979,Mary Remis,YouTube,8.9,PyCharm,1.1,01-05-2022,1.0
1328,Steve Wolcott,YouTube,2.2,Git,7.8,01-05-2022,0.5
1705,Dorthea Guyton,Twitch,3.6,PgAdmin4,6.4,01-05-2022,1.0
1845,Robert Locke,Яндекс.Музыка,3.0,Git,7.0,01-05-2022,1.0
2066,Wilma Harden,YouTube,2.0,Teams,8.0,02-05-2022,0.0
1482,Natasha Andrews,Яндекс.Музыка,4.0,PyCharm,6.0,02-05-2022,0.0
602,Marvin Hansen,Яндекс.Музыка,6.5,PyCharm,3.5,02-05-2022,1.5
668,Albert Ortiz,YouTube,3.7,PyCharm,6.3,02-05-2022,1.0
1340,Steve Wolcott,Twitch,2.9,Teams,7.1,02-05-2022,2.0
2429,Laura Acker,Twitch,2.0,Teams,8.0,02-05-2022,0.5
2365,Sarah Harwood,Twitch,3.5,PgAdmin4,6.5,02-05-2022,0.5
751,William Dixon,YouTube,3.7,PyCharm,6.3,02-05-2022,0.5
2750,Marvin Wilson,Twitch,2.9,PgAdmin4,7.1,02-05-2022,1.5
1722,Irene Semmes,Яндекс.Музыка,3.5,Teams,6.5,02-05-2022,2.0
890,Michael Cuneo,Twitch,7.5,Teams,2.5,02-05-2022,2.0
2375,Nellie Alexander,Twitch,2.8,Git,7.2,02-05-2022,0.5
571,Evelyn Moran,Яндекс.Музыка,2.4,PyCharm,7.6,02-05-2022,0.5
2289,Robert Bennett,Twitch,3.3,Git,6.7,02-05-2022,1.0
1440,Lachelle Armstrong,Twitch,3.4,Teams,6.6,02-05-2022,1.0
2984,Jeanne Taylor,YouTube,2.4,Teams,7.6,02-05-2022,0.5
15,Paul Glass,Twitch,3.4,PgAdmin4,6.6,02-05-2022,0.0
57,Sandra Cox,Twitch,3.8,PgAdmin4,6.2,03-05-2022,0.5
2444,Donnie Flores,YouTube,2.5,Teams,7.5,03-05-2022,1.0
438,Ann Flanagan,Twitch,3.7,Teams,6.3,03-05-2022,0.5
2423,Laura Acker,YouTube,2.6,Git,7.4,03-05-2022,1.0
724,Brent Degan,Яндекс.Музыка,3.1,PyCharm,6.9,03-05-2022,1.0
215,Salvatore Ketron,Яндекс.Музыка,2.7,Teams,7.3,03-05-2022,0.5
2953,Jay Traficante,Яндекс.Музыка,2.1,PgAdmin4,7.9,03-05-2022,0.5
2780,Max Ceasar,Twitch,2.0,PgAdmin4,8.0,03-05-2022,0.5
945,Glenda Boswell,YouTube,7.6,Git,2.4,03-05-2022,1.0
1716,Irene Semmes,Twitch,2.6,PgAdmin4,7.4,03-05-2022,1.0
1702,Dorthea Guyton,Яндекс.Музыка,6.1,PyCharm,3.9,03-05-2022,2.0
1282,Lois Harrington,Яндекс.Музыка,3.4,PyCharm,6.6,03-05-2022,1.5
669,Albert Ortiz,Twitch,3.9,Git,6.1,03-05-2022,1.0
2547,Megan Elizondo,Twitch,2.8,PyCharm,7.2,03-05-2022,1.0
2791,Maxie Banks,Яндекс.Музыка,2.1,Teams,7.9,03-05-2022,1.0
600,Marvin Hansen,YouTube,3.8,Teams,6.2,03-05-2022,0.0
2741,Marvin Wilson,Яндекс.Музыка,3.7,Git,6.3,03-05-2022,0.0
244,Lynne Dozier,YouTube,3.3,PgAdmin4,6.7,03-05-2022,1.0
2139,Allison Sharkey,YouTube,3.2,Git,6.8,04-05-2022,1.0
848,Lacie Jennings,Twitch,2.8,PyCharm,7.2,04-05-2022,1.0
2190,Barry Powell,Яндекс.Музыка,2.9,Teams,7.1,04-05-2022,0.5
7,Paul Glass,Яндекс.Музыка,3.1,PyCharm,6.9,04-05-2022,1.0
108,Lisa Johnston,Яндекс.Музыка,7.2,Teams,2.8,04-05-2022,1.0
197,Yvette Dugas,Twitch,2.2,PgAdmin4,7.8,04-05-2022,0.0
1048,Emmie Jenkins,Twitch,3.5,Git,6.5,04-05-2022,1.0
1799,Joe Gordon,Яндекс.Музыка,3.0,Teams,7.0,04-05-2022,1.0
1065,Rogelio Degeyter,YouTube,2.5,Git,7.5,04-05-2022,0.5
2331,Lyndon Falls,Яндекс.Музыка,4.0,PgAdmin4,6.0,04-05-2022,0.5
430,Ann Flanagan,Twitch,2.3,Teams,7.7,04-05-2022,0.5
1695,Dorthea Guyton,Twitch,3.2,PyCharm,6.8,04-05-2022,0.5
2647,Jimmy Williamson,Яндекс.Музыка,3.9,PgAdmin4,6.1,04-05-2022,0.5
1915,Ray Zanola,YouTube,3.1,Git,6.9,04-05-2022,0.5
313,David Orr,Яндекс.Музыка,2.1,PgAdmin4,7.9,04-05-2022,0.0
667,Albert Ortiz,Twitch,3.5,PyCharm,6.5,04-05-2022,0.5
2453,Donnie Flores,Twitch,2.7,PgAdmin4,7.3,04-05-2022,1.0
1209,Thersa Willhite,Twitch,2.9,PyCharm,7.1,04-05-2022,2.0
659,Randy Balch,Twitch,3.9,Git,6.1,04-05-2022,1.0
520,Kenneth Harvey,YouTube,9.0,Git,1.0,04-05-2022,0.5
2511,Michelle Robbins,Twitch,2.4,Git,7.6,04-05-2022,0.0
1757,Charles Brown,Яндекс.Музыка,2.7,Git,7.3,05-05-2022,0.0
275,Lisa Bailes,YouTube,3.0,Teams,7.0,05-05-2022,2.0
1503,Linda Valdez,YouTube,6.6,Git,3.4,05-05-2022,1.0
675,Albert Ortiz,Twitch,2.4,PyCharm,7.6,05-05-2022,0.5
2605,Florence Smith,Яндекс.Музыка,3.6,Teams,6.4,05-05-2022,2.0
1123,Nicole Natalie,Яндекс.Музыка,3.9,PgAdmin4,6.1,05-05-2022,1.0
2148,Allison Sharkey,Яндекс.Музыка,3.1,Git,6.9,05-05-2022,0.5
585,Evelyn Moran,Яндекс.Музыка,2.8,PgAdmin4,7.2,05-05-2022,0.5
2972,Jeanne Taylor,Twitch,2.0,PyCharm,8.0,05-05-2022,0.5
1586,John Galvin,Twitch,2.4,PyCharm,7.6,05-05-2022,0.5
693,Louis Stater,Twitch,3.1,Git,6.9,05-05-2022,2.0
384,Jeffrey Crumley,Twitch,2.1,Git,7.9,05-05-2022,2.0
2304,Robert Bennett,Яндекс.Музыка,2.2,Teams,7.8,05-05-2022,1.0
974,Mary Remis,Яндекс.Музыка,2.9,Teams,7.1,05-05-2022,1.5
98,Lisa Johnston,Twitch,3.0,PyCharm,7.0,06-05-2022,0.5
1992,Elinor Hill,Яндекс.Музыка,3.5,Git,6.5,06-05-2022,1.0
1187,Howard Barnes,YouTube,3.1,Git,6.9,06-05-2022,0.5
563,Dwayne Williams,Twitch,2.9,Teams,7.1,06-05-2022,1.5
1147,Joyce Osborne,Яндекс.Музыка,3.4,PyCharm,6.6,06-05-2022,2.0
1584,John Galvin,Twitch,7.0,PyCharm,3.0,06-05-2022,1.5
125,John Vest,Twitch,3.2,Teams,6.8,06-05-2022,0.5
1679,David Herman,Яндекс.Музыка,8.8,Git,1.2,06-05-2022,0.5
1240,Tonya Rhodes,YouTube,2.3,PyCharm,7.7,06-05-2022,1.0
