Unnamed: 0,employer,timestamp,text,commit_len,coef
1801,Evelyn Moran,20220501,"oops, forgot to add the file",28.0,0.0
1883,Jerome Lawrence,20220501,fixed the israeli-palestinian conflict,38.0,5.0
1740,Irene Semmes,20220501,fix,3.0,0.0
813,Randy Balch,20220501,commented out failing tests,27.0,0.0
1613,Michael Cuneo,20220501,harharhar,9.0,0.0
1757,Joseph Pike,20220501,more ignores,12.0,0.0
534,Howard Barnes,20220501,Updated,7.0,0.0
1902,Randy Balch,20220501,"removed echo and die statements, lolz.",38.0,0.0
1764,Donnie Flores,20220501,really ignore ignored worsd,27.0,0.0
55,David Herman,20220501,clarify further the brokenness of C++. why the fuck are we using C++?,69.0,0.0
1392,Yvette Dugas,20220501,Committed some changes,22.0,0.0
1175,Florence Smith,20220501,Replace all whitespaces with tabs.,34.0,0.0
356,Joe Gordon,20220501,wip,3.0,0.0
1548,Ray Zanola,20220501,"Herpderp, shoulda check if it does really compile.",50.0,0.0
424,Lacie Jennings,20220501,Some shit.,10.0,0.0
59,Joe Gordon,20220502,changes,7.0,0.0
1636,John Galvin,20220502,"magic, have no clue but it works",32.0,0.0
99,Jeanne Taylor,20220502,omg what have I done?,21.0,0.0
1170,Donnie Flores,20220502,Something fixed,15.0,5.0
46,Anthony Hankerson,20220502,uhhhhhh,7.0,0.0
989,Jay Traficante,20220502,another big bag of changes,26.0,0.0
41,Tonya Rhodes,20220502,I don't know what these changes are supposed to accomplish but somebody told me to make them.,93.0,0.0
1569,Megan Elizondo,20220502,I don't give a damn 'bout my reputation,39.0,0.0
1524,Howard Barnes,20220502,Derpy hooves,12.0,0.0
1320,Priscilla Boyd,20220502,XNAMEX sucks,12.0,0.0
1509,Brent Degan,20220502,should work I guess...,22.0,5.0
759,Elinor Hill,20220502,I'm too foo for this bar,24.0,0.0
1662,Sarah Harwood,20220502,"Future self, please forgive me and don't hit me with the baseball bat again!",76.0,0.0
1650,Elinor Hill,20220502,I'm human,9.0,0.0
1103,Ann Flanagan,20220502,mergederp,9.0,0.0
1997,Kenneth Harvey,20220502,My bad,6.0,0.0
110,Louise Gerber,20220503,"Do things better, faster, stronger",34.0,0.0
427,Glenda Boswell,20220503,add actual words,16.0,0.0
509,Ann Flanagan,20220503,more fixes,10.0,0.0
1759,Robert Bennett,20220503,more ignores,12.0,0.0
166,Ruby Dicus,20220503,various changes,15.0,0.0
391,Bruce Makela,20220503,Testing in progress ;),22.0,0.0
841,Natasha Andrews,20220503,"XUPPERNAMEX, WE WENT OVER THIS. C++ IO SUCKS.",45.0,0.0
290,Max Ceasar,20220503,Why The Fuck?,13.0,0.0
283,Eliz Urban,20220503,Todo!!!,7.0,0.0
1530,Jacob Cole,20220503,"hey, look over there!",21.0,0.0
334,Nicole Natalie,20220503,Something fixed,15.0,5.0
961,Scott Self,20220503,touched...,10.0,0.0
873,Donnie Flores,20220503,"Give me a break, it's 2am.  But it works now.",45.0,0.0
1152,Ray Zanola,20220503,DEAL WITH IT,12.0,0.0
187,Jimmy Williamson,20220503,c,1.0,0.0
246,Lachelle Armstrong,20220503,more stuff,10.0,0.0
1909,Lacie Jennings,20220504,and a comma,11.0,0.0
1208,Marvin Hansen,20220504,that's all folks,16.0,0.0
195,Amanda Leatham,20220504,lolwhat?,8.0,0.0
885,Maxie Banks,20220504,"To those I leave behind, good luck!",35.0,0.0
1171,Kathryn Ford,20220504,I'm hungry,10.0,0.0
1654,Scott Self,20220504,did everything,14.0,0.0
642,Lachelle Armstrong,20220504,more debug... who overwrote!,28.0,0.0
417,Randy Balch,20220504,c,1.0,5.0
1638,David Lott,20220504,"dirty hack, have a better idea ?",32.0,0.0
