,employer,num_message,timestamp,coef
3429,Emmie Jenkins,20,01-05-2022,0.0
7425,Joseph Pike,37,01-05-2022,1.67
2193,Randy Balch,30,01-05-2022,0.0
4385,Ralph Roache,23,01-05-2022,0.0
9721,Gary Richardson,31,01-05-2022,0.0
7502,Raymond Trevino,40,01-05-2022,0.0
5295,John Galvin,25,01-05-2022,0.0
9398,Maxie Banks,26,01-05-2022,1.67
6589,Curtis Davis,39,01-05-2022,1.67
874,Lynne Dozier,45,01-05-2022,2.67
8540,Eliz Urban,25,01-05-2022,0.0
4190,Tonya Rhodes,24,01-05-2022,1.67
7739,Lyndon Falls,36,01-05-2022,1.67
2499,Brent Degan,2,01-05-2022,0.0
4087,Thersa Willhite,36,01-05-2022,1.67
5403,David Lott,4,01-05-2022,1.67
9837,Jay Traficante,36,01-05-2022,0.6699999999999999
7609,Robert Bennett,35,01-05-2022,1.67
1661,Anthony Wright,30,01-05-2022,2.67
5154,Thomas Poore,43,01-05-2022,0.0
6627,Elinor Hill,40,01-05-2022,0.0
7078,Scott Self,40,01-05-2022,0.6699999999999999
1891,Dwayne Williams,39,01-05-2022,0.0
3200,Mary Remis,38,01-05-2022,1.67
4970,Natasha Andrews,24,01-05-2022,0.0
1238,Jeffrey Crumley,4,01-05-2022,0.0
9022,Ann Gardner,25,01-05-2022,0.6699999999999999
4541,Jacob Cole,35,01-05-2022,0.0
126,Sandra Cox,30,01-05-2022,0.6699999999999999
3011,Carlton Peyton,22,01-05-2022,0.0
6762,Ruby Dicus,22,01-05-2022,0.0
9473,Bruce Makela,22,01-05-2022,0.6699999999999999
5095,Linda Valdez,35,01-05-2022,0.6699999999999999
7289,Wendy Orr,28,01-05-2022,0.6699999999999999
1910,Evelyn Moran,23,01-05-2022,1.67
7347,Barry Powell,50,01-05-2022,0.0
2215,Albert Ortiz,22,01-05-2022,1.67
3186,Glenda Boswell,47,01-05-2022,1.67
2538,William Dixon,31,01-05-2022,0.0
1718,Kenneth Harvey,45,01-05-2022,1.67
3368,Priscilla Boyd,46,01-05-2022,0.0
8716,Larry Williamson,49,01-05-2022,0.0
2975,Michael Cuneo,2,01-05-2022,2.67
3888,Joyce Osborne,40,01-05-2022,0.0
2738,Janel Peeler,46,01-05-2022,0.0
5694,Dorthea Guyton,35,01-05-2022,0.0
3589,Rogelio Degeyter,45,01-05-2022,0.0
10,Paul Glass,50,01-05-2022,0.0
